Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-30,ONGC,EQ,82.4,83.5,83.55,80.65,81.5,81.35,82.19,25762628,211755583480000.0,77411.0,9702702.0,0.3766
2020-07-01,ONGC,EQ,81.35,79.0,80.95,78.3,80.9,80.45,79.87,35344809,282306225685000.0,102245.0,11141105.0,0.3152
2020-07-02,ONGC,EQ,80.45,81.35,84.15,81.1,82.25,81.85,82.87,35154233,291335585945000.0,98191.0,13211827.0,0.37579999999999997
2020-07-03,ONGC,EQ,81.85,82.45,83.35,81.6,82.3,82.4,82.43,16793161,138421342134999.98,53702.0,7815221.0,0.4654
2020-07-06,ONGC,EQ,82.4,83.05,84.9,82.8,83.8,83.75,84.06,17511379,147193106885000.0,68682.0,7592852.0,0.4336
2020-07-07,ONGC,EQ,83.75,83.75,83.8,81.8,82.0,81.95,82.22,20124675,165470604640000.0,84557.0,9137416.0,0.454
2020-07-08,ONGC,EQ,81.95,82.0,82.9,81.0,81.25,81.3,81.83,18626982,152428663335000.0,65582.0,8435286.0,0.4529
2020-07-09,ONGC,EQ,81.3,81.6,82.25,79.9,80.5,80.2,80.83,17348338,140225124384999.98,65923.0,9004544.0,0.519
2020-07-10,ONGC,EQ,80.2,80.0,80.15,77.7,78.65,78.55,78.77,17773267,139993985695000.0,91802.0,7470697.0,0.4203
2020-07-13,ONGC,EQ,78.55,79.2,79.55,78.4,78.85,78.9,78.96,9361006,73910986650000.0,41569.0,2663791.0,0.2846
2020-07-14,ONGC,EQ,78.9,78.5,78.95,77.15,77.35,77.35,77.82,9303884,72402220395000.0,52804.0,3263934.0,0.3508
2020-07-15,ONGC,EQ,77.35,78.0,78.2,75.85,76.3,76.25,77.29,14377120,111120962084999.98,66629.0,3986101.0,0.2773
2020-07-16,ONGC,EQ,76.25,76.4,76.7,75.0,76.05,76.15,75.75,10605125,80329487715000.0,48356.0,3408052.0,0.3214
2020-07-17,ONGC,EQ,76.15,76.3,80.65,76.3,80.6,80.35,79.29,24934073,197705034200000.0,88592.0,7377462.0,0.2959
2020-07-20,ONGC,EQ,80.35,81.0,81.25,79.2,80.35,80.3,80.38,15570377,125160271475000.0,83777.0,4004515.0,0.2572
2020-07-21,ONGC,EQ,80.3,80.6,82.9,80.35,82.6,82.45,82.06,20976714,172131486960000.0,81347.0,7836789.0,0.3736
2020-07-22,ONGC,EQ,82.45,82.75,83.5,81.7,82.4,82.6,82.69,17884327,147877715270000.0,90559.0,5071543.0,0.2836
